
s0 -- fp_on   / 1,led_fp_on -> s1
s50 -- pw_but_up   / pw_mv_up -> s49
s50 -- key_pos_lock   / 1 -> s50
s50 -- pw_pos_up   / 1 -> s50
s50 -- fp_off   / 1,led_fp_off -> s47
s50 -- pw_pos_dn   / 1 -> s50
s50 -- key_pos_unlock   / cls_unlock -> s44
s50 -- mpw_stop   / 1 -> s50
s50 -- finger_detected   / 1 -> s50
s51 -- fp_on   / 1,1 -> s51
s51 -- m_pw_msg   / 1 -> s51
s51 -- receiveMsg   / 1 -> s51
s51 -- pw_but_dn   / fp_off,1 -> s45
s51 -- pw_but_up   / 1 -> s51
s51 -- key_pos_lock   / 1 -> s51
s51 -- pw_pos_up   / 1 -> s51
s51 -- fp_off   / pw_mv_dn,led_fp_off -> s36
s51 -- pw_pos_dn   / 1 -> s51
s51 -- key_pos_unlock   / cls_unlock -> s48
s51 -- mpw_stop   / 1 -> s51
s51 -- finger_detected   / 1 -> s51
